English ,Czech,Deutsch,Spanish,French,Italian,Polish,Portuguese,Russian,Turkish,Chinese,
Unscheduled Flow Limit  ,Neplánovaný limit průtoku  ,Limit Ungeplanter Durchfluss,Límite Flujo No Prog.,Limite de débit imprévu,Limite Flusso Non Prog.,Niezapl. Limit Przepływu,Limite Fluxo Não Prog.,Незап. Лимит Потока,Plan. Akış Limiti,非计划流量限制,
Monthly Budget  ,Měsíční rozpočet  ,Monatliches Budget,Presupuesto mensual,Budget mensuel,Budget mensile,Miesięczny budżet,Orçamento mensal,Месячный бюджет,Aylık Bütçe,每月预算,
Manual Allowance,Manuální příspěvek,Manuelle Erlaub.,Asignación manual,Budget manuel,Tolleranza manuale,Przydział Ręczny,Limite manual,Ручное Назначение,Manuel İzin,手动限额,
Alarm Set Delay,Zpoždění nastavení alarmu,Alarm Verzögerung,Alarma retr.,Délai d'alarme réglé,Allarm. rit.,Opóźnienie alarmu,Alarme atr.,Трев. задерж.,Alarm Gecikmesini Ayarla,警报设置延迟,
Alarm Clear Delay ,Zpoždění vymazání alarmu ,Verzögerung Alarm löschen,Borrar retraso alarma,Délai d'alarme effacé,Cancella allarme ritardo,Opóźnienie kasowania alarmu,Atraso do alarme encerrado,Задержка Сброса Тревоги,Alarm Gecikmesini Sil,警报清除延迟,
Flow Sensor Map   ,Mapa senzorů  ,Sensor-Karte,Mapa sensor,Carte capteur,Mappa sensore,Mapa czujnika,Mapa sensor,Карта датчика,Sensör harita,传感器地图,
Map,Mapa,Karte,Mapa,Carte,Mappa,Mapa,Mapa,Карта,Harita,地图,
PMV,PMV       ,PMV,B/VM,PMV,PMV,PMV,PMV,P MV,PMV,PMV,
Flow Operation,Průtok op.,Flussbetr.,Op. flujo,Opér. débit,Op. flusso,Oper. przep.,Op. fluxo,Опер. поток,Akış işl,流量操作,
Manual,Manuál,Manuell,Manual,Manuel,Manuale,Ręczny,Manual,Ручной,Manuel,手动,
Flow Monitoring,Sledování průtoku ,Durchflussüberwachung,Seguimiento de caudal,Surveillance du débit,Monitoraggio del Flusso,Monitorowanie Przepływu,Monitoramento de vazão,Контроль расхода,Debi İzleme,流量监测,
Flow Manager,Správce průtoku ,Flowmanager,Gestor de caudal,Gestionnaire de débit,Manager flusso,Zarządzanie przepływem,Gerente de vazão,Менеджер расхода,Debi Yöneticisi,流量管理器,
Learn Flow,Uč. průt.,Lern Fl.,Apr. flujo,Appr. débit,Appr. flusso,Ucz. przep.,Aprend. fluxo,Изуч. поток,Akış öğren.,学习流量,
StartTime,Startovací čas,Startzeit,HoraIni,HeureDéb,OraIniz,Czas startu,HoraIní,ВремяНач,BaşlSaa,启动时间,
Day ,den ,Tag,día,Jour,Giorno,Dzień,dia,День,gün,天天数,
Month ,Měsíc ,Monat,Mes,Mois,Mese,Miesiąc,mês,месяц,ay,月份,
Year,rok,Jahr,Año,Année,anno,rok,Ano,Год,yıl,年,
Hour,hod ,Std.,h,H,ora,godz.,h,ч,sa,时,
Min   , Min   ,Min.,Min,Min,Min,Min,Mín,мин,Min.,分,
Hr,hod,Std.,h,H,ora,godz.,h,ч,sa,时,
Apply,Použití ,Anwd.,Apl.,Appl.,Appl.,Zast.,Apl.,Прим.,Uygula,应用,
Learn Status,Uč. stav,Lern Stat.,Apr. estado,Appr. statut,Appr. stato,Ucz. stan,Aprend. estado,Изуч. сост.,Durum öğren.,学习状态,
Start Time,Startovací čas,Startzeit,HoraIni,HeureDéb,OraIniz,Czas startu,HoraIní,ВремяНач,BaşlSaa,启动时间,
Last Run,Poslední,Letzte,Último,Dernier,Ultimo,Ostatni,Último,Последний,Son,上一次运行,
Active,blokuje zavlažování,aktiv,activo,Active,Attivo,Aktywny,Ativo,активен,etkin,激活,
Current Station,Aktuální stanice,Aktuelle Station,Estación actual,Station actuelle,Stazione attuale,Aktualna sekcja,Setor atual,Текущая станция,Mevcut İstasyon,当前站点,
Last Flow Read,Čtení posledního průtoku,Letzter gemessener Durchfluss,Última lectura de caudal,Dernière lecture de débit,Lettura ultima portata,Ostatni odczyt przepływu,Última leitura de vazão,Последнее показание расхода,Son Debi Okuması,上次流量读取,
Stations Processed,Zpracované stanice,Stationen erfasst,Estaciones procesadas,Stations traitées,Stazioni elaborate,Stacje przetworzone,Setores processados,Обработанные станции,İşlenen İstasyonlar,已处理的站点,
Stations To Learn,Stanice k naučení,Stationen zu Erlernen,Estaciones por registrar,Stations à apprendre,Stazioni da apprendere,Sekcje do zapamiętania,Setores para aprender,Еще не обученные станции,Öğrenilecek İstasyonlar,要学习的站点,
Stations Learned,Naučené stanice,Stationen erlernt,Estaciones aprendidas,Stations apprises,Stazioni apprese,Zapamiętane sekcje,Setores aprendidos,Обученные станции,Öğrenilen İstasyonlar,已学习的站点,
Stations Failed,Neúspěšné stanice,Stationen nicht erfasst,Estaciones fallidas,Stations en panne,Stazioni non riuscite,Błędne sekcje,Setores não realizados,Станции с ошибками,İstasyonlar Başarısız,站点失败,
Get Status,Získat stav,Status abrufen,Obtener estado,État,Ottieni stato,Sprawdź status,Ver status,Узнать состояние,Durumu Al,获取状态,
Station Settings,Nastavení stanice,Station Einstellungen,Configuración de la estación,Réglages de station,Impostazioni della stazione,Ustawienia sekcji,Configurações do setor,Настройки станций,İstasyon Ayarları,站点设置,
Station Selection,Volba stanice,Station Auswahl,Selección de estación,Sélection de station,Selezione della stazione,Wybór sekcji,Seleção de setor,Выбор станций,İstasyon Seçimi,站点选择,
Select Station No:,Vyberte číslo stanice:,Auswahl Station Nr.:,Seleccionar estación No:,Sélectionner la station n°:,Selezionare numero stazione:,Wybierz sekcję nr:,Selecione Estação Nº:,Выбрать станцию №:,İstasyon Numarası Seç:,选择站点编号:,
Apply,Použití ,Anwd.,Apl.,Appl.,Appl.,Zast.,Apl.,Прим.,Uygula,应用,
Cycle and Soak,Cyklování a vsakování,Zyklus- und Sickerphasen,Ciclo e infiltración,Arrosage et réessuyage,Ciclo e assorbimento,Praca cykliczna i wsiąkanie,Ciclo e seca,Функция Cycle and Soak (цикл и впитывание),Döngü ve Islatma,循环和浸泡,
Cycle Time,Délka cyklu,Zykluszeit,Tiempo ciclo,Durée du cycle,Durata ciclo,Czas pracy cyklicznej,Tempo de ciclo,Время цикла полива,Döngü Süresi,循环时间,
 Min, Min,Min.,Min,Min,Min,Min,Mín,мин,Min.,分,
Soak Time,Vsakovací pauza,Sickerzeit,Tiempo de infiltración,Durée de réessuyage,Tempo di assorbimento,Czas wsiąkania,Tempo de seca,Время выдержки,Islatma Süresi,入渗时间,
 Min, Min,Min.,Min,Min,Min,Min,Mín,мин,Min.,分,
Hydraulic Connection,Hydraulické připojení,Hydraulischer Anschluss,Conexión hidráulica,Raccordement hydraulique,Connessione idraulica,Połączenie hydrauliczne,Conexão hidráulica,Гидравлическое соединение,Hidrolik Bağlantı,水利连接,
Master Valve:,Hlavní ventil,Hauptventil,Válvula maestra,Vanne princ.,Master Valve,Zawór główny,Válvula mestre,Главный клапан,Ana Vana,主阀,
Link Flow Zone,Spoj. zóna,Verb. Fl. Z.,Vinc. Z. Fl.,Lien Z. Déb.,Col. Z. Fl.,Łącze Stref.,Lig. Z. Fluxo,Связ. ЗФ,Bağ. Akış B.,关联流量分区,
Flow Setting,Nastavení průtoku,Durchfluss Einstellung,Configuración del caudal,Paramètres de débit,Impostazione portata,Ustawienia przepływu,Configuração de vazão,Настройки расхода,Debi Ayarı,流量设置,
Flow Priority,Priorita průtoku,Flowpriorität,Prioridad de caudal,Priorité de débit,Priorità flusso,Priorytet przepływu,Prioridade de vazão,Приоритет расхода,Debi Öncelikli,流量优先级,
Disabled,Zakázáno,Deakt.,Deshab.,désactivé,Disatt.,Wył.,Desat.,Откл.,Devre d.,已禁用,
Flow Rate,Průtok,Flowrate,Tasa de caudal,Débit,Portata,Natężenie przepływu,Taxa de vazão,Расход,Debi Hızı,流量,
GPM, GPM,GPM,GPM,GPM,GPM,galon/min,GPM,Гал/мин,GPM,GPM,
Flow Delay,Zpoždění průtoku,Durchfluss Verzögerung,Retraso de caudal,Délai de débit,Ritardo di portata,Opóźnienie przepływu,Atraso de vazão,Задержка расхода,Clik Gecikmesi,流量延迟,
Sec, sek,Sek,s,sec,Sec,Sek,s,с,sn,秒,
Set Not Learn,"Nastav, ne uč","Setzen, nicht lernen","Fijar, no aprender","Définir, pas apprendre",Imp. non appr.,"Ustaw, nie ucz",Def. não apr.,"Задать, не учить","Ayarla, öğrenme",设定，不学习,
Not learned,Nenaučeno,Nicht gelernt,No aprendido,Non appris,Non appreso,Nie nauczono,Não aprendido,Не выучено,Öğrenilmedi,未学习,
Edit,Upravit,Bearbeiten,Editar,Modifier,Modifica,Edytuj,Editar,Редактировать,Düzenle,编辑,
Solar sync,Solar Sync,Solar Sync,Solar Sync,Solar Sync,Solar Sync,SolarSync,Solar Sync,Solar Sync,Solar Sync,Solar Sync,
Solar Sync Settings,Nast. Sol. Sync.,SolarSync Einst.,Config. Sol. Sync.,Param. Sol. Sync.,Imp. Sol. Sync.,Ust. Sol. Sync.,Def. Sol. Sync.,Наст. Sol. Sync.,Güneş Senk. Ayar.,Solar Sync 设置,
Solar Sync Reading,Sol. sync. úd.,SolarSync Mess.,Lect. Sol. Sync.,Lect. Sol. Sync.,Lett. Sol. Sync.,Odczyt Sol. Sync.,Leit. Sol. Sync.,Чтение Sol. Sync.,Güneş Senk. Okuma,Solar Sync 读取,
Solar Sync Configuration,Konfigurace solární synchronizace,Solar Sync Konfiguration,Configuración de Solar Sync,Configuration de Solar Sync,Configurazione Solar Sync,Konfiguracja Solar Sync,Configuração do Solar Sync,Конфигурация Solar Sync,Solar Sync Yapılandırması,Solar Sync 配置,
Enable Sensor,Povolit senzor,Sensor aktivieren,Activar sensor,Activer le capteur,Attiva sensore,Włączenie czujnika,Ativar sensor,Задействовать датчик,Sensörü etkinleştir,启用传感器,
Disabled,Zakázáno,Deakt.,Deshab.,désactivé,Disatt.,Wył.,Desat.,Откл.,Devre d.,已禁用,
Solar Sync Settings,Nast. Sol. Sync.,SolarSync Einst.,Config. Sol. Sync.,Param. Sol. Sync.,Imp. Sol. Sync.,Ust. Sol. Sync.,Def. Sol. Sync.,Наст. Sol. Sync.,Güneş Senk. Ayar.,Solar Sync 设置,
Region,Oblast,Region,Región,Région,Regione,Strefa klimatyczna,Região,Регион,Bölge,区域,
Water Adjustment Factor,Nast. vody,Wasserfaktor,Ajuste agua,Facteur eau,Fattore acqua,Wsp. wody,Fator água,Коэфф. воды,Su ayarı,灌溉调整系数,
Delay Days,Dny zpoždění,Verzögerungstage,Días de retraso,Jours de délai,Giorni di ritardo,Liczba dni opóźnienia,Dias de atraso,Дни задержки,Gecikme Günleri,延迟天数,
Solar Sync schedule adjustment will be delayed be 0-250,Úprava Sol. Sync zpožděna o 0–250,Solar Sync-Anp. verzögert um 0–250,Ajuste Sol. Sync retrasado 0–250,Ajust. Solar Sync retardé de 0–250,Reg. Solar Sync ritardata di 0–250,Reg. Sol. Sync opóźnione o 0–250,Aj. Solar Sync atrasado em 0–250,Корр. Solar Sync задержана на 0–250,Solar Sync ayarı 0–250 gecikmeli,太阳同步调节延迟 0–250,
is delayed by,bude zpožděn o ,wird verzögert um,se retrasará por,sera retardé de,sarà ritardata da,opóźnienie o,será adiado em,будет задерживаться на,kadar geciktirilecek,将推迟至,
Adjustment During Delay,Nastavení během zpoždění,Anp. Verz.,Ajuste retr.,Adj. retard,Reg. rit.,Dostos. op.,Ajuste atr.,Корр. задерж.,Ayar gecik.,延迟期间的调整,
Water adjustment percent during delay will be 0-300,Úprava vody (%) při zpoždění: 0–300,Wasseranp. (%) Verzögerung: 0–300,Aj. agua (%) retraso: 0–300,Aj. eau (%) retard: 0–300,Reg. acqua (%) ritardo: 0–300,Reg. wody (%) opóźn.: 0–300,Aj. água (%) atraso: 0–300,Процент корректировки полива,Sulama ayar yüzdesi,灌溉调整百分比,
Edit,Upravit,Bearbeiten,Editar,Modifier,Modifica,Edytuj,Editar,Редактировать,Düzenle,编辑,
Solar Sync Settings   ,Nastavení Solar Sync   ,Solar Sync Einstellung,Configuración Solar-Sync,Paramètres de Solar Sync,Impostazioni Solar Sync,Ustawienia Solar Sync,Configurações do Solar Sync,Настройки Solar Sync,Solar Sync Ayarları,Solar Sync 设置,
 Solar Sync Reading,Sol. sync. úd.,SolarSync Mess.,Lect. Sol. Sync.,Lect. Sol. Sync.,Lett. Sol. Sync.,Odczyt Sol. Sync.,Leit. Sol. Sync.,Чтение Sol. Sync.,Güneş Senk. Okuma,Solar Sync 读取,
Trend,  Trend,Trend,Tendencia,Tendance,Tendenza,Tendencja,Tendência,Тенденция,Trend,趋势,
Communication Type   ,Typ komunikace   ,Verbindungstyp,Tipo de comunicación,Type de communication,Tipo di comunicazione,Typ komunikacji,Tipo de comunicação,Тип связи,İletişim Türü,通信类型,
Wired,Drát.,Verk.,Cabl.,Câblé,Cabl.,Przew.,Fio.,Провод.,Kablolu,有线,
Wireless, Bezdrátové,Drahtlos,Inalámbrico,Sans fil,Wireless,Bezprzewodowe,Sem fio,Беспроводная,Kablosuz,无线,
ET Today Status,Dnešní stav ET,Status ET Heute,ET actual,Statut ET aujourd'hui,Stato ET odierno,Dzisiejszy status ET,Status de hoje da ET,Испарение сегодня,ET Bugün Durumu,ET 今日状态,
Previous Day ET,Předchozí den ET,ET vorheriger Tag,ET del día anterior,ET du jour précédent,ET giorno precedente,ET – poprzedni dzień,ET do dia anterior,Испарение за пред. день,Önceki Gün ET,前一天 ET,
ET Last  Days,Poslední dny ET,ET letzte Tage,ET de los últimos días,ET des derniers jours,ET ultimi giorni,ET – ostatnie dni,ET dos últimos dias,Испарение за последние  дн.,Son Günlerde ET,过去日子 ET,
ET Today-2,Poslední dny ET,ET letzte Tage,ET de los últimos días,ET des derniers jours,ET ultimi giorni,ET – ostatnie dni,ET dos últimos dias,Испарение за последние сут.,Son Günlerde ET,过去日子 ET,
ET Today-3,,,,,,,,,,,
ET Average  ,Průměr ET  ,ET Durchschnitt,ET medio,ET moyenne,ET media,ET – średnia,ET média,Среднее испарение,ET Ortalaması,ET 平均值,
inch,palec,Zoll,pulgadas,pouce,pollici,cal,polegada,дюйм,inç,英寸,
mm,MM,MM,MM,MM,MM,mm,MM,мм,MM,MM,
Valid ET Days,Platné dny ET,Gültige ET Tage,Días de ET válidos,Jours ET valides,Giorni ET validi,Ważne dni ET,Dias de ET válidos,Засчитано дней,Geçerli ET Günleri,有效 ET 天数,
         Days,         Dny,Tage,días,jours,giorni,Dni,dias,дней,gün,天数,
S.S Seasonal Adjust  ,Sezónní nastavení SS  ,"S.S Anp.	",Ajuste estacional SS,Réglage saisonnier,Regolazione stagionale SS,Korekta sezonowa SS,Regulação sazonal do SS,S.S Корр.,SS Mevsimsel Ayar,SS 季节性调整,
Last Temp. Reading    ,Posl. tepl.,Letzte Temp.,Últ. temp.,Dern. temp.,Ult. temp.,Ostat. temp.,Últ. temp.,Посл. темп.,Son sıcak.,上次温度读数,
C,C,C,C,C,C,C,C,C,C,C,
F,F,F,F,F,F,F,F,F,F,F,
Last Solar Rad. Reading   ,Posl. sol.,Letzte SolRad,Últ. sol. rad.,Dern. sol. rad.,Ult. sol. rad.,Ostat. sol. rad.,Últ. sol. rad.,Посл. солн. рад.,Son güneş rad.,上次太阳辐射读数,
Wm²,W/m²,Wm²,Wm²,Wm²,Wm²,Wm²,Wm²,Вт/м²,Wm²,Wm²,
Last 1 Hr Temp. Reading,Poslední 1h Teplota,Letzte 1h Temp.,Última 1h Temp.,Dernière 1h Te0000000000mp.,Ultima 1h Temp.,Ostatnia 1h Temp.,Última 1h Temp.,Последние 1ч Темп.,Son 1 Saat Sıcaklık,前一小时温度读数,
Last 1 Hr Solar Rad. Reading,1h sol.,1h SolRad,1h sol. rad.,1h sol. rad.,1h sol. rad.,1h sol. rad.,1h sol. rad.,1ч солн. рад.,1s güneş rad.,前一小时太阳辐射读数,
Last Communication Time   ,Posl. kom.,Letzte Komm.,Últ. com.,Dern. com.,Ult. com.,Ostat. kom.,Últ. com.,Посл. ком.,Son iletişim,上一次通信时间,
Item Names,Název položky,Objektname,Nombre del elemento,Nom de l’élément,Nome dell'articolo,Nazwa przedmiotu,Nome do item,Название объекта,Öğe Adı,物品名称,
Items Names,Názvy položek,Objektnamen,Nombres de los elementos,Noms des éléments,Nomi degli articoli,Nazwy przedmiotów,Nomes dos itens,Названия объектов,Öğe Adları,物品名称,
Station,Stanice,Station,Estac.,Station,Staz.,Sekcja,Setor,Станция,İstas.,站点,
Program,Program,Progr.,Progra.,Prog.,Progr.,Program,Progr.,Прогр.,Program,程序,
Sensor,Senzor,Sensor,Sensores,Sonde,Sensore,Czujnika,Sensor,Датчик,Sensör,传感器,
Main Safe,Hlavní trezor,MainSafe,MainSafe,MainSafe,MainSafe,Zabezpieczenie główne,MainSafe,MainSafe,MainSafe,MainSafe,
Flow Zone ,Průtoková sekce ,Flowzone,Zona de caudal,Zone de débit,Zona di flusso,Strefa przepływu,Setor de vazão,Зона расхода,Debi Bölgesi,流量分区,
Number,Číslo,Nummer,Número,Nombre,Numero,Liczba,Número,Количество,Sayı,数量,
          Name,          Jméno,Name,Nombre,Nom,Nome,Nazwa,Nome,Название,Ad,名称,
Controller Log,Protokol ovládací jednotky,Protokoll der Steuergeräte,Registro del programador,Journal du programmateur,Registri del programmatore,Rejestr sterownika,Registro do controlador,Журнал контроллера,Kontrol Ünitesi Günlüğü,控制器日志,
Controller Log,Protokol ovládací jednotky,Protokoll der Steuergeräte,Registro del programador,Journal du programmateur,Registri del programmatore,Rejestr sterownika,Registro do controlador,Журнал контроллера,Kontrol Ünitesi Günlüğü,控制器日志,
Station Log ,Protokol stanice ,Stationsprotokoll,Registro de estación,Journal de la station,Registri delle stazioni,Rejestr sekcji,Registro da estação,Журнал станции,İstasyon Günlüğü,站点日志,
Alarm Log,Protokol alarmů,Alarm-Protokoll,Registro de alarmas,Journal d'alarme,Registro degli allarmi,Rejestr alarmów,Registro do alarme,Журнал аварийных сигналов,Alarm Günlüğü,警报日志,
Security,Zabezpečení,Sicherheit,Segrdad,Sécurité,Sicurezza,Bezpieczeństwo,Segur.,Безопас.,Güvenlik,安全,
User Management,Správa uživatelů,Benutzermanagement,Gestión de usuarios,Gestion utilisateur,Gestione utenti,Zarządzanie użytkownikami,Gerenciamento de usuários,Управление пользователями,Kullanıcı Yönetimi,用户管理,
Account Number,Číslo účtu,Accountnummer,Número de cuenta,Numéro de compte,Numero di account,Numer konta,Número da conta,Номер учетной записи,Hesap Numarası,账号,
             User Name   ,             Jméno uživatele   ,Benutzername,Nombre del usuario,Nom de l'utilisateur,Nome utente,Nazwa użytkownika,Nome do usuário,Имя пользователя,Kullanıcı Adı,用户名,
          User Type  ,          Typ uživatele  ,Benutzertyp,Tipo de usuario,Type d'utilisateur,Tipo di utente,Typ użytkownika,Tipo de usuário,Тип пользователя,Kullanıcı Tipi,用户类型,
 User Pin, Uživatelský pin,Benutzer-PIN,NIP de usuario,Code PIN utilisateur,Pin utente,PIN użytkownika,Pin do usuário,Пин-код пользователя,Kullanıcı Pini,用户 PIN 码,
                      Admin       ,                      Správce       ,Admin,Administrador,Administrateur,Amministratore,Admin,Administrador,Админ.,Yönetici,管理,
           Crew   ,           Posádka   ,Team,Equipo,Équipe,Team,Zespół,Equipe,Сотрудник,Ekip,成员,
User Management Disabled,Správa uživatelů zakázána,Benutzermanagement deaktiviert,Gestión de usuarios desactivada,Gestion des utilisateurs désactivée,Gestione utenti disabilitata,Wyłączone zarządzanie użytkownikami,Gerenciamento de usuários desativado,Управление пользователями отключено,Kullanıcı Yönetimi Devre Dışı,用户管理已禁用,
Security Features,Bezpečnostní funkce,Sicherheitsmerkmale,Funciones de seguridad,Caractéristiques de sécurité,Caratteristiche di sicurezza,Funkcje związane z bezpieczeństwem,Recursos de segurança,Функции безопасности,Güvenlik Özellikleri,安全功能,
Disable User Management Bypass       ,Zakázat obcházení správy uživatelů       ,Deaktivieren Umgehung Benutzermanagement,Desactivar omisión de gestión de usuarios,Désactiver le contournement de la gestion des utilisateurs,Disattivare bypass gestione utenti,Wyłącz obejście zarządzania użytkownikami,Desativar opção para Ignorar gerenciamento de usuários,Отключить обход управления пользователями,Kullanıcı Yönetimi Baypasını Devre Dışı Bırak,禁用用户管理旁路,
Inactive,Neaktivní,Inaktiv,Inactivo,Inactif,Inattivo,Nieakt.,Inativo,Неактивен,Aktif değil,未激活,
Active,blokuje zavlažování,aktiv,activo,Active,Attivo,Aktywny,Ativo,активен,etkin,激活,
Disable Factory reset,Zakázat tovární nastavení,Deaktivieren Werksreset,Desactivar restaurar valores de fábrica,Désactiver la réinitialisation d'usine,Disabilitare il ripristino di fabbrica,Wyłącz przywracanie ustawień fabrycznych,Desativar rest de fábrica,Отключить сброс до заводских настроек,Fabrika ayarlarına sıfırlamayı devre dışı bırak,禁用出厂重置,
Set,Nastavit,Einstellen,Configurar,Régler,Imposta,Ustaw,Configurar,Задать,Ayarla,设置,
Dial Position ,Poloha otočného ovladače ,Drehschalter Position,Posición del dial,Position du sélecteur,Posizione del selettore,Pozycja pokrętła,Posição do seletor,Положение рукоятки настройки,Kadran Konumu,旋钮位置,
RUN,Spustit,Betrieb,AUTOMÁTICO,Marche,ACCESO,Praca,Regar,РАБОТА,Çalıştır,运行,
DATE/TIME,Datum/čas,Datum/Uhrzeit,Date/Time (Fecha/Hora),Date/Heure,Data/ora,Data/godzina,Data/hora,Дата/время,Tarih/Saat,日期/时间,
START TIMES,Startovací časy,STARTZEITEN,HORAS DE INICIO,HEURES DE DÉMARRAGE,ORARI DI AVVIO,CZASY STARTU,Horários de início,Время запуска полива,Başlangıç Zamanları,启动次数,
STATION RUNTIMES,ČASY SPUŠTĚNÍ STANICE,Stationslaufzeiten,Tiempos de riego de las estaciones,Durée d'arrosage des stations,Tempi d'irrigazione dell’impianto,Czasy pracy sekcji,Horários de rega dos setores,Продолжительность полива станций,İstasyon Çalışma Zamanları,站点运行时间,
DAYS TO WATER,DNY ZÁVLAHY,BEREGNUNGSTAGE,DÍAS DE RIEGO,JOURS D'ARROSAGE,GIORNI D’IRRIGAZIONE,DNI DO NAWADNIANIA,DIAS DE IRRIGAÇÃO,ДНИ ПОЛИВА,SULAMA GÜNLERİ,距离灌溉的天数,
PUMP OPERATION,PROVOZ ČERPADLA,BEWÄSSERUNGSTAGE,FUNCIONAMIENTO DE LA BOMBA,FONCTIONNEMENT DE LA POMPE,FUNZIONAMENTO DELLA POMPA,DZIAŁANIE POMPY,OPERAÇÃO DA BOMBA,УПРАВЛЕНИЕ НАСОСОМ,POMPA İŞLETİMİ,水泵操作,
SEASONAL ADJUSTMENT,Sezónní nastavení,Saisonale Anpassung,Ajuste estacional,Le réglage saisonnier,Regolazione stagionale,Seasonal Adjustment (Korekta sezonowa),Regulação sazonal,СЕЗОННАЯ КОРРЕКТИРОВКА,Mevsimsel Ayar,季节性调整,
SOLAR SYNC,Solar Sync,Solar Sync,Solar Sync,Solar Sync,Solar Sync,SolarSync,Solar Sync,SOLAR SYNC,Solar Sync,Solar Sync,
MANUAL OPERATION,Manuální ovládání,Manueller Betrieb,Funcionamiento manual,FONCTIONNEMENT MANUEL,Funzionamento manuale,Tryb obsługi ręcznej,Operação manual,РУЧНОЙ РЕЖИМ,Manuel Çalıştırma,手动运行,
SYSTEM OFF,Systém je vypnutý,System aus,APAGAR SISTEMA,Arrêt du système,IMPIANTO SPENTO,Wyłączanie,Sistema desligado,СИСТЕМА ОТКЛ.,Sistm Kapa,系统关闭,
Smart Port Error,Chyba inteligentního portu,Smart Port Error,Error en el puerto inteligente,Erreur Smart Port,Errore Smart Port,Błąd inteligentnego portu,Erro de porta inteligente,Ошибка Smart Port,Akıllı Bağlantı Noktası Hatası,智能端口错误,
Dial in off position,Vytáčení ve vypnuté poloze,Drehschalter in Position Aus,Dial en posición de apagado,Sélecteur en position d'arrêt,Posizione off del selettore,Pokrętło w pozycji wyłączonej,Seletor na posição desligada,Рукоятка в положении «выкл.»,Kadran kapalı konumda,旋钮处于关闭位置,
Station / Pump Overload,Přetížení stanice / čerpadla,Überlast Station / Pumpe,Sobrecarga de estación/bomba,Surcharge de la station/pompe,Sovraccarico della stazione / pompa,Sekcja/pompa przeciążona,Sobrecarga do setor/bomba,Перегрузка станции/насоса,İstasyon / Pompa Aşırı Yüklenmesi,站点/水泵过载,
Sensor alarm (Clik is Active),Alarm senzoru (Clik je aktivní),Sensoralarm (Clik aktiv),Alarma del sensor (Clik está activo),Alarme de sonde (sonde Clik active),Allarme sensore (Clik è attivo),Alarm czujnika (Clik jest aktywny),Alarme do sensor (Clik está ativo),Аварийный сигнал Clik (датчик активен),Sensör alarmı (Clik Aktif),传感器警报（Clik 已激活）,
Programmable off active,Programovatelné vypnutí aktivní,Programmierbare Bewässerungspause aktiv,Apagado programable activo,Arrêt de l'arrosage programmé activé,Programmazione Off attiva,Programowalne wyłączanie aktywne,Desligamento programável ativo,Активировано программ. отключение,Programlanabilir kapalı aktif,编程关闭已激活,
Solar Sync/ET sensor comm fault,Porucha komunikace senzoru Solar Sync/ET,Verbindungsfehler Solar Sync/ET Sensor,Fallo de comunicación del sensor Solar Sync/ET,Défaillance de communication de Solar Sync/sonde ET,Guasto di comunicazione sensore Solar Sync/ET,Błąd komunikacji czujnika Solar Sync/ET,Falha de comunicação do sensor Solar Sync/ET,Ошибка связи с датчиком Solar Sync/ET,Solar Sync/ET sensörü iletişim hatası,Solar Sync/ET 传感器通信故障,
Program Number,Číslo programu,Programm Nummer,Número de programa,Numéro du programme,Numero del programma,Numer programu,Número do programa,Номер программы,Program Numarası,程序编号,
A,A,A,A,A,A,A,A,А,A,A,
B,B,B,B,B,B,B,B,B,B,B,
C,C,C,C,C,C,C,C,C,C,C,
D,d,D,D,D,D,d,D,D,D,D,
Trend,Trend,Trend,Tendencia,Tendance,Tendenza,Tendencja,Tendência,Тенденция,Trend,趋势,
Global,Globální,Global,Global,Global,Globale,Globalny,Global,Глобальные,Küresel,全局,
Select Program,Vybrat program,Programm auswählen,Seleccionar programa,Sélectionner un programme,Seleziona Programma,Wybierz program,Selecione o programa,Выбрать программу,Program Seç,选择程序,
Change,Změnit,Ändern,Cambiar,Modifier,Cambia,Zmień,Alterar,Изменить,Değiştir,更改,
Station Delay ,Pauza mezi sekcemi ,Stationsverzögerung,Retardo de estación,Retard de la station,Ritardo stazione,Opóźnienie sekcji,Espera da estação,Задержка при включении станции,İstasyon Gecikmesi,站点延迟,
Start Time,Startovací čas,Startzeit,Hora de arranque,Heure de début,Orario di partenza,Czas startu,Horário de início,Время запуска,Başlangıç Zamanı,启动时间,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
Days of Week,Dny v týdnu,Wochentage,Días sem.,Jours sem.,Giorni sett.,Dni tygodnia,Dias da semana,Дни недели,Haftanın Günleri,工作日,
Odd/Even,Lichá/sudá ,Gerade/ungerade,Impar/par,Pair/Impair,Dispari/pari,Parzyste/Nieparzyste,Ímpares/pares,Нечетные/четные,Tek/Çift,奇/偶,
Interval,Interval,Intervall,Intervalo,Intervalle,Intervallo,Interwał,Intervalo,Интервал,Fasılalı,间隔,
Date / Time,Datum/čas,Datum/Uhrzeit,Date/Time (Fecha/Hora),Date/Heure,Data/ora,Data/godzina,Data/hora,Дата/время,Tarih/Saat,日期/时间,
Flow Totals,Celkové průtoky,Flowergebnisse,Totales de caudal,Volume des débits,Totali di flusso,Całkowity przepływ,Total de vazão,Общий расход,Debi Toplamı,总流量,
